id,motivo_de_se_considerar_flex,fonteinfo_flex,motivacao,dificuldade,genero,cor_raca,escolaridade
248,"nao costumo gostar tanto do sabor e textura de carnes no geral (com excecao de frango), acho meio enjoativo e tambem me preocupo com os animais (porem, nao consigo cessar seu consumo por completo), isso acaba reduzindo bastante meu consumo de carnes",outros,etica_animal,"apesar de tentar reduzir o consumo da carne em sua forma ""pura"" (digamos que comer apenas a carne ou alimentos que tem como elemento principal a carne) ela ainda esta muito presente em diversos alimentos que gosto e por vezes e ""necessario"" para manter uma dieta balanceada",homem_cis,parda,superior
249,"melhorar a saude, depois que tive câncer",midias,saude,nenhuma,mulher_cis,parda,mestrado
250,"por sensibilidade a vida animal e ao modo como sao tratados, questoes econômicas e ambientais secundariamente e com isso estou no processo gradativo de desabituar o consumo de carne animal",meus_pais,etica_animal,falta de tempo para fazer minha propria comida diante da escassez de acesso e variedade de comidas prontas de valor acessivel e de estabelecimentos que produzam opcões vegetarianas.,mulher_cis,branca,superior
251,"relacao politica, com o meio ambiente e econômica",amigos,impacto_ambiental,readaptacões culinarias,mulher_cis,branca,doutorado
252,tenho consumido menos carne porque sinto dificuldade em digerir,essa_pesquisa,saude,nenhuma,homem_cis,branca,mestrado
253,pois nao sou muito adepta ao consumo de carne animal porem ainda nao consegui cortar definitivamente da minha dieta,midias,etica_animal,dificuldades culturais em relacao a alimentacao,mulher_cis,parda,medio
254,"eu nunca tinha parado para pensar ser ""flexitariano"" comecei fazendo segunda sem carne alem do bem estar animal, preocupacao ambiental esta sendo bom para minha saude",midias,impacto_ambiental,adequar minha alimentacao com a alimentacao da casa,mulher_cis,branca,mestrado
255,"alem do impacto_ambiental, a saude",amigos,impacto_ambiental,simplesmente passei a reduzir de forma gradual,mulher_cis,branca,superior
256,"preocupacao ambiental, social e a etica com animais",amigos,etica_animal,saude,mulher_cis,parda,doutorado
257,estou comecando a retirar a carne da minha dieta por sentir pena de como sao mal tratados os animais ( tanto na criacao quanto para serem sacrificados),amigos,etica_animal,gostar do sabor,mulher_cis,branca,mestrado
258,porque estou tentando reduzir,essa_pesquisa,aversao,gostar do sabor,mulher_cis,branca,mestrado
259,nao me considero,essa_pesquisa,religiao,sou carnivoro,pnr,branca,mestrado
260,eu nao sabia que era uma flexitariana ate participar desta pesquisa,midias,saude,opcões sem carne em restaurantes pq como fora com frequencia,mulher_cis,parda,superior
261,nao,midias,saude,"necessidade que ainda sinto de comer, talvez por questões culturais, mas ainda sinto vontade de comer, por isso nao retirei da dieta",mulher_cis,branca,doutorado
262,por consumir muito pouco,outros,saude,comer fora,mulher_cis,branca,superior
263,"eu nao me considero flexitariana, nao ligo que esse seja o jeito que voces chamam a forma como eu como eu me considero onivora apenas",outros,impacto_ambiental,nenhuma,mulher_cis,branca,superior
264,"questao de saude, melhora no intestino e no refluxo e preocupacao com os animais",escola_universidade,saude,dinheiro,mulher_cis,parda,superior
265,por me sensibilizar com os animais,amigos,impacto_ambiental,"exercicio fisico, proteina ajuda bastante no desenvolvimento dos músculos",mulher_cis,parda,superior
266,por nao excluir totalmente o consumo de carne da minha vida alimenticia,midias,etica_animal,dificil encontrar opcões de fastfood no interior,homem_cis,branca,medio
267,"similaridade com carne humana, mals tratos animais e meio ambiente",escola_universidade,aversao,cultura social,mulher_cis,branca,doutorado
268,"porque tenho sensibilidade a carne vermelha, a carne vermelha transmite o stress e ansiedade de confinamento da criacao aos humanos, e as pegadas hidricas e ecologicas sao muito elevadas",essa_pesquisa,aversao,minha familia eh muito carnivora. eles acabam me levando a comer o que tem na .,mulher_cis,parda,mestrado
269,sim,escola_universidade,impacto_ambiental,nenhuma,mulher_cis,parda,superior
270,reduzi a carne devido a problemas de saude,midias,saude,falta de opcao de vegetais em restaurantes.,homem_cis,preta,superior
271,"o bem estar animal e a devastacao de terras pelo agronegocio devem ser uma questao sempre quando se trata de investimento de dinheiro, alem disso, quanto ao dinheiro, a carne encarece muito a feira do mes",amigos,impacto_ambiental,"vicio que a carne proporciona na alimentacao, e nas saidas com amigos os lanches com carne sao mais acessiveis e baratos",mulher_cis,branca,superior
272,porque nao consumo carne todos os dias !,amigos,saude,"ingerir mais verduras, frutas e bastante liquido",pnr,parda,fundamental
273,porque consumir muita carne bovina nao fez pro meu intestino e a reducao colabora com o meio ambiente,midias,saude,gostar do sabor,mulher_cis,parda,superior
274,porque como de tudo,midias,impacto_ambiental,preparo,mulher_cis,parda,mestrado
275,motivo religioso abstinencia de carne nas sextas-feiras,outros,religiao,gostar do sabor,homem_cis,parda,superior
276,"porque eu reduzi bastante o consumo de carne tanto devido ao preco como devido as implicacões ambientais na criacao de gado, pena do animal, dentre outros fui vegetariana por 3 anos e apenas voltei a comer carne porque precisava cozinhar para minha familia e ja nao dava conta de fazer outras opcões e nao me achava no direito de privar meus filhos de uma fonte importante de proteina e ferro na verdade, ficava insegura de prejudicar o desenvolvimento deles tambem por uma opcao minha hoje em dia voltei a comer carne de boi e porco, mas e algo que ainda me provoca culpa por conhecer o que tem por tras dessa indústria em relacao as duas perguntas anteriores, nao sei se ""preocupacao"" foi o melhor termo, pois sim, eu me preocupo, mas nao consigo escolher o produto levando em consideracao a dieta dieta animais pois ha tempos nos desvinculamos da origem do nosso alimento acabo comprando carne sem saber qual a dieta do animal, porque nao ha essa informacao mas sim, me preocupo",escola_universidade,impacto_ambiental,habitos de outros membros da familia e dificuldade de diversificar as preparacões,mulher_cis,branca,doutorado
277,por conseguir substituir o consumo por outra proteina,escola_universidade,saude,praticidade,mulher_cis,branca,superior
278,por estar reconsiderando o meu consumo de carne,midias,impacto_ambiental,tempo para cozinhar e aprender a cozinhar,homem_cis,branca,medio
279,por causa das condicões financeiras atuais,midias,saude,gostar do sabor,mulher_cis,preta,superior
280,devido ao meu padrao alimentar,escola_universidade,saude,nenhuma,mulher_cis,branca,doutorado
281,"em muitas refeicões nao consumo carne, substituo a carne pela batata, facilmente",amigos,etica_animal,"o consumo em comidas como pizzas, sanduiches, salgados no geral",mulher_cis,parda,mestrado
282,sim,amigos,impacto_ambiental,"nao como muita verdura, meu paladar e mt restrito",mulher_cis,preta,superior
283,"porque minha alimentacao e quase toda sem carne, ha mais dois venho reduzindo gradativamente mas as vezes se tiver muita vontade de consumir algo que tem carne me permito sem culpa, mas e cada vez menos frequente",midias,impacto_ambiental,opcões principalmente em restaurantes,mulher_cis,parda,superior
284,"porque nao me sinto bem comendo animais, especialmente de grande porte",escola_universidade,saude,"dificuldade de encontrar outras opcões mais acessiveis. bem como, nao saber preparar substituicões saborosas.",mulher_cis,branca,doutorado
285,por acreditar que faz bem a saude consumir menos carne,outros,saude,familia,mulher_cis,parda,doutorado
286,"sei do impacto que a indústria pecuaria gera ao meio ambiente mesmo as que nao criam o animal em confinamento, decidem a data de morte do animal e eu nao acho certo acho qie os animais tem sentimentos e direito a vida como qualquer um de nos so nao consegui virar vegetariana ainda porque nao consegui ter disciplina e organizacao para manter um estoque de legumes e verduras que atendesse a minha familia grande outro ponto e que, em parte, sinto que dificulta um pouco a socializacao ao visitar amigos, ir em festinhas e tem pratos como o estrogonofe e a lasanha bolonhesa da minha avo que me trazem memorias afetivas e nao consegui abrir mao ainda",escola_universidade,impacto_ambiental,planejamento e persistencia,mulher_cis,branca,superior
287,"porque nao considero correto tirarmos a vida de um animal, causar dor ou sofrimento nele para nossa alimentacao sinto remorso sempre!",outros,etica_animal,habitos alimentares familiares,mulher_cis,branca,mestrado
288,prevencao de câncer / bem estar animal,escola_universidade,saude,monotonia alimentar. questões de saúde.,mulher_cis,branca,doutorado
289,"ha alguns varios anos venho reduzindo a quantidade de carne que consumo, pois sempre considerei as porcões muito exageradas (ex um bife pequeno e suficiente) e ha menos tempo venho tentando adotar dias sem nenhum tipo carne, apenas com vegetais ou ovo",midias,saude,"encontrar variedade de tipos de legumes e vegetais nos grandes mercados, com precos razoaveis, a manutencao desses alimentos para evitar perdas e a minha falta de criatividade na hora de criar cardapios",mulher_cis,preta,superior
290,porque nao consumo proteina de origem animal todos os dias e nem em todas as refeicões no mesmo dia,escola_universidade,impacto_ambiental,nenhuma,mulher_cis,branca,mestrado
291,"ja tentei ser vegetariana mas tive anemia, entao passei a reduzir proteina animal apenas, mas prefiro sempre o peixe",essa_pesquisa,saude,nenhuma,mulher_cis,parda,mestrado
292,pelo carater do bem estar animal e pelo desgradacao da natureza realizada pelos criadores de bois e aviarios,midias,etica_animal,diversificar mais minha alimentacao,mulher_cis,preta,superior
293,"ja fui vegetariana e hoje procuro consumir maior quantidade de vegetais reduzo as porcões de carne nas refeicões, e pontualmente faco refeicões sem carne",escola_universidade,saude,"planejamento das refeicões, convivencia social com pessoas que consomem carne frequentemente",mulher_cis,branca,superior
294,eu reduzi o consumo de animais,escola_universidade,impacto_ambiental,contentar a familia com preparacões sem carne,mulher_cis,branca,doutorado
295,nao me considero,amigos,saude,sinto necessidade de comer quase todos os dias..,mulher_cis,parda,superior
296,porque venho perdendo a vontade/gosto por esse tipo de comida,midias,aversao,sua substituicao,mulher_cis,branca,superior
297,porque tenho consciencia de que o consumo de carne diariamente e insustentavel para o planeta,amigos,impacto_ambiental,o fato de eu nao cozinhar e nao encontrar alimentos saborosos vegetarianos disponiveis facilmente,mulher_cis,branca,doutorado
298,"porque ha dias na semana em que nao como carne, principalmente carne vermelha",midias,impacto_ambiental,gostar do sabor,mulher_cis,parda,mestrado
299,porque diminui muito o meu consumo de carne e ja nao sinto falta,outros,saude,quando resolvemos fazer churrasco,mulher_cis,branca,superior
300,nao,amigos,impacto_ambiental,ausencia de opcao em alguns lugares,mulher_cis,branca,doutorado
301,"pois nao como carne durante tres dias na semana, sendo um deles sem nenhum alimento de origem animal a escolha decorre principalmente devido aos tipos de criacões de animais que considero ruins e tambem devido a questao ambiental",escola_universidade,etica_animal,falta de criatividade e tempo para preparar as substituicões,mulher_cis,branca,medio
302,tenho tido vontade nos últimos tempos de reduzir o consumo de carne por motivos de saude e de sustentabilidade ambiental/ protecao dos animais,midias,etica_animal,consumidores de carne na mesma casa,mulher_cis,branca,superior
303,"nao acredito que seja necessario consumir uma grande quantidade de carne para manter uma alimentacao saudavel acredito que pancs tem imenso potencial pois sao locais, mais nutritivas, de facil cultivo no geral, etc tambem apoio as questoes veganas e de meio ambiente tirando as carnes bio e marcas como korin, os animais sao tratados com transgenicos e antibioticos, alem de sofrerem maus tratos tambem sabemos que os alimentos processados e ultraprocessados e preparados alimenticeos nao tem energia vital, nao sao vivos, portanto, nao nutrem e introduzem toxinas no organismo",meus_pais,saude,"acostumar o paladar viciado a outros sabores e texturas, e concorrer com a praticidade de lanches como hamburguers e fast foods....",mulher_cis,branca,mestrado
304,nao e sustentavel para o planeta mais carnivoros que herbivoros e desumana a forma que os animais sao tratados,essa_pesquisa,etica_animal,a familia toda nao aderir,mulher_cis,parda,doutorado
305,incômodo com a morte dos animais,essa_pesquisa,etica_animal,habitos e nao consumir mais peixes,mulher_cis,branca,superior
306,pela minha saude,outros,saude,"dificuldade em organizar as outras opcões, carne e mais pratico",mulher_cis,branca,superior
307,sim,escola_universidade,impacto_ambiental,familia,mulher_cis,branca,doutorado
308,gosto pessoal,amigos,religiao,custos,mulher_cis,parda,superior
309,porque nao consigo deixar de consumir completamente mas gostaria !,amigos,saude,"tentar sozinha, pois quando eu decido nao consumir, tudo bem, mas preciso cozinhar duas refeicões diferenciadas, uma para mim e outra para o resto da familia",mulher_cis,parda,medio
310,porque carnes vermelhas nao sao as preferencais,midias,saude,cheiro de churrasco e os hambúrgueres,mulher_cis,branca,doutorado
311,porque tenho reduzido cada vez mais o consumo de carnes vermelhas,essa_pesquisa,etica_animal,conseguir outra boa fonte de proteina,mulher_cis,pnr,mestrado
312,"porquestoes de saude, de condicionamento fisico e politicas",amigos,impacto_ambiental,nenhuma,homem_cis,branca,doutorado
313,pois limitei o consumo de carnes apenas aos peixes e frutos do mar posso ser considerada pesco-vegetariana tambem,outros,saude,nenhuma,mulher_cis,branca,superior
314,porque nao consumos as carnes acima citadas a mais de 5 anos,midias,impacto_ambiental,encontrar substitutos de facil e barato acesso,mulher_cis,branca,superior
315,porque tentei aderir ao vegetarianismo mas sinto dificuldade de suplementar a vitamina b12 e isso me levou a voltar a consumir ovos e depois carnes (carne de boi e frango/galinha),outros,impacto_ambiental,"suplementar a vitamina b12 e consumir a quantidade ideal proteina. a b12 e o motivo maior, mesmo tomando citoneurin nao sobe.",mulher_cis,branca,superior
316,saude,amigos,saude,familia consome muita carne,mulher_cis,branca,superior
317,sim,midias,impacto_ambiental,praticidade,homem_cis,preta,doutorado
318,"na semana meu almoco, na maior parte do mes, sao de marmitas veganas, entao nas outras refeicões do dia e no final de semana como frango ou peixe se na semana como muito frango ou peixe, tento no final de semana comer refeicões vegetarianas/veganas carne vermelha so se comer fora ou minha mae preparar, nao compro carne vermelha para eu cozinhar a 7 anos, prefiro cozinhar comidas vegetarianas/veganas, frango, peixe e frustos do mar ja tive varios periodos comendo so comida vegetariana/vegana, que duravam alguns meses, depois voltava a comer frango e peixe atualmente estou intercalando durante as refeicões da semana",amigos,religiao,"saber cozinhar mais opcões veganas e ter termpo para tal, alem de realmente gostar de frango e peixe. na pandemia consegui reduzir o consumo bastante, pois tinha tempo para cozinhar. hoje consigo comprando marmitas veganas, mas as vezes enjoo do sabor e tal, voltando a comer carne.",mulher_cis,branca,superior
319,porque estou reduzindo aos poucos o consumo,amigos,impacto_ambiental,pouco tempo pra preparar a propria comida,homem_cis,branca,doutorado
320,reduzi porquestoes ambientais,midias,impacto_ambiental,familia,mulher_cis,parda,doutorado
321,pena dos animais,outros,religiao,cozinhar outras preparacões,mulher_cis,branca,mestrado
322,porque estou reduzindo o consumo de carne,essa_pesquisa,impacto_ambiental,mudanca de habitos,mulher_cis,branca,superior
323,eu decidi reduzir o consumo de carne para melhorar a minha alimentacao e pensando tambem na questao animal e o impacto do meio ambiente,amigos,saude,alta no valor de legumes e verduras,mulher_cis,branca,superior
324,porque tenho reduzido o consumo de proteina animal e dado preferencia a proteina de origem vegetal (folhas e graos),essa_pesquisa,saude,habito e o preco de alguns componentes da dieta,mulher_cis,branca,doutorado
325,pois evito carnes em algumas refeicões,outros,saude,encontrar outra fontes de proteinas saborosas e de facil acesso e preparo.,homem_cis,parda,mestrado
326,"porque diminui a frequencia e quantidade de carne ja fiquei vegetariana por 5 anos porquestoeseticas e ambientais, mas fiquei anemica e voltei a comer em pouca quantidade depois me casei com um marido muito carnivoro e voltei a comer bastante mas meu corpo reagiu (juntas dos dedos inchados) e eu voltei a reduzir e estou bem",amigos,etica_animal,geralmente e marido quem cozinha e ele gosta muito de carne e cozinha muito bem,mulher_cis,parda,doutorado
327,"porque eu apesar de nao conseguir ficar sem carne, eu gosto muito de fazer refeicões sem nenhuma carne e tb porque mesmo qdo como carne, a quantidade e bem pequena",amigos,saude,"minha familia come muita carne, e por facilidade acabo comendo tb.",mulher_cis,parda,superior
328,porque decidi deixar de consumir carnes duas vezes na semana,midias,etica_animal,"alem dos habitos familiares carnivoros, sinto dificuldade em manter outros ingredientes e variacao de cardapio de forma a manter o sabor e os nutrientes necessarios",mulher_cis,parda,superior
329,"eu so comia carne na casa dos outros ou restaurantes acompanhando outras pessoas como fiquei com baixa de b12 e proteina, agora como carne (frango e porco as vezes e principalmente peixe, de preferencia especies que nao estejam com sobrepesca) em semanas alternadas (uma semana com carne, outra sem) porque cozinho so uma vez na semana pra comer ao longo dos dias",outros,impacto_ambiental,"tenho certa facilidade porque levo comida pro trabalho, mas la so tem comida com carne.",mulher_cis,branca,superior
330,esforco de reduzir o consumo de carne por motivos ambientais e eticos,amigos,etica_animal,alternativas facilmente disponiveis,homem_cis,parda,doutorado
331,carnes brancas sao consideradas menos caloricas e foi sugerido a mudanca pela nutricionista,midias,saude,nenhuma,mulher_cis,preta,doutorado
332,"porque ultimamente vi o impacto_ambiental que o consumo de carne vermelha vem causando , e pelo preco da carne tbm",midias,impacto_ambiental,"o preco de peixes que tbm aumentou bastante, com isso o consumo do frango e maior o que tbm acaba enjoando",mulher_cis,parda,superior
333,"nao compactuo inteiramente com o consumo desenfreado de carne pela sociedade,mas tambem reconheco a importancia do consumo de proteina que muitas vezes e dificil de alcancar apenas com a proteina vegetal",outros,impacto_ambiental,"baixa variedade de alimentos ricos em proteinas, bem como o alto preco dos mesmos",homem_cis,parda,superior
334,porquestoes politicas e pela defesa dos animais reduzi o consumo de carne,essa_pesquisa,impacto_ambiental,pouca oferta de outros produtos e precos altos,homem_cis,preta,mestrado
335,diversifico minha alimentacao,outros,impacto_ambiental,nenhuma,mulher_cis,branca,superior
336,por querer diminuir a carne em beneficio a saude,midias,saude,meu marido que e carnivero,mulher_cis,branca,superior
337,porquestao de saude e de posicionamento politico e consciencia ambiental,escola_universidade,saude,tempo para o preparo,homem_cis,indigena,doutorado
338,"porque tenho tentado melhorar minha alimentacao, os cuidados com o planeta, com animais, e com trabalhadoras e trabalhadores",essa_pesquisa,impacto_ambiental,"gosto bastante de carne, tenho receio de ficar doente, com anemia, engordar...",mulher_cis,parda,doutorado
339,Varios motivos ligados a saude humana e animal,amigos,etica_animal,nenhuma,mulher_cis,branca,superior
340,nunca fui fa incondicional de carne,outros,saude,"quando estou gripado, enfraquecido, sinto vontade de carne.",homem_cis,branca,mestrado
341,"carnes faz mal pra saude, principalmente as vermelhas, nao gosto muito de carnes desses animais, muito hormônio",midias,saude,nenhuma,mulher_cis,parda,superior
342,"nao consumo carne vermelha, muito excepcionalmente algum sanduiche mas gosto de peixe e camarao devo consumir uma vez por semana, ou ate menos",escola_universidade,impacto_ambiental,paladar! gosto de um peixinho,mulher_cis,amarela,doutorado
343,"porque sempre que eu posso, eu evito de comer carne! se eu tiver como escolher…",essa_pesquisa,impacto_ambiental,falta de tempo para preparar os alimentos,homem_cis,parda,superior
344,nem conhecia esse termo,essa_pesquisa,saude,nao sei cozinhar outras coisas,mulher_cis,parda,doutorado
345,"sei que hoje o consumo de carne e um dos principais fatores que influenciam no desmatamento e assim corroboram com o desenvolvimento do aquecimento global, alem de muitos criadouros nao fornecerem as condicões minimas aos animais",escola_universidade,impacto_ambiental,o habito de consumir frequentemente,mulher_cis,preta,mestrado
346,sim,amigos,saude,"reuniao de amigos, sempre tem carne",mulher_cis,parda,mestrado
347,nao sei,amigos,saude,outras opcões alimentos,homem_cis,branca,mestrado
348,"nao sou, so as coisas estao muito caras",outros,saude,"gosto, sabor e fortalecimento",mulher_cis,parda,superior
349,estou diminuindo aos poucos o consumo pelas questoes ambientais,midias,impacto_ambiental,sou professor e na escola o almoco tem muita carne e nem sempre da tempo de levar comida de casa,mulher_cis,branca,superior
350,o termo era desconhecido e uma opcao minha nesse momento,midias,etica_animal,nenhuma,mulher_cis,branca,doutorado
351,porque nao consumo muito carne e prefiro os vegetais e legumes,midias,impacto_ambiental,cardapio e receitas variadas,homem_cis,parda,mestrado
352,"nao me considero eu dou preferencia para comer vegetais, mas nao e recuso a comer carne",outros,etica_animal,nenhuma,mulher_cis,branca,doutorado
353,nao me considero,outros,saude,necessidade de saúde,mulher_cis,branca,doutorado
354,porque tenho diminuido o consumo de carne,amigos,impacto_ambiental,falta de um repertorio de receitas e falta de tempo para estudar,mulher_cis,branca,doutorado
355,nao me considero,midias,saude,vontade,homem_cis,branca,superior
356,"pelo meio ambiente (desmatamento) em geral para criacao, excesso de hormônios nas criacões",midias,impacto_ambiental,nenhuma,pnr,branca,superior
357,"porque eu evito comer carne de boi e de porco, dando prioridade a carne de frango e aos ovos ao estudar um pouco sobre os sistemas de producao, o impacto_ambiental que geram e a crueldade animal, resolvi diminuir o meu consumo de carne minha meta e comer o minimo possivel, apenas para garantir as vitaminas que precisamos e que estao presentes nesses tipos de carne",essa_pesquisa,impacto_ambiental,os precos dos produtos veganos e a dificuldade de encontra-los em alguns lugares,mulher_cis,branca,superior
358,"porque coloquei no meu habito alimentar a consumir menos carne, principalmente carnes que demandam de grandes pastos ou muita alimentacao industrializada",midias,etica_animal,"ter sempre opcões sem carne no cardapio, em restaurantes, lanchonetes ou comida de rua mesmo",homem_cis,indigena,superior
359,impacto na floresta,midias,impacto_ambiental,nenhuma,mulher_cis,branca,superior
360,porque prefiro me preocupo sempre que possivel nao consumir carnes,essa_pesquisa,etica_animal,alimentacao da familia sempre contem carnes,mulher_cis,parda,superior
361,"pelo fato de consumir corretamente (em sua grande parte) o almoco no servico, prefiro a noite nao jantar comida e sim pao, bolacha, copo de leite, qualquer outra coisa principalmente pelo fato de ter que ""cozinhar"", no servico o alimento que consumimos e produzido em marmitarias",midias,saude,"as vezes, quando fico muito tempo sem comer carne, sinto meu corpo pedindo um pedaco de bife.",pnr,parda,superior
362,"porque evito a carne, sei dos processos de producao que sao terriveis mas escolho consumir algumas vezes frango ou peixe",outros,etica_animal,a relacao com o prazer de comer determinados alimentos.,mulher_cis,branca,mestrado
363,"porque tento diminuir o consumo de carne pois acredito que o consumo exagerado prejudica a saude e o meio ambiente, mas vejo a importância da carne na dieta",escola_universidade,impacto_ambiental,nenhuma,mulher_cis,branca,doutorado
364,sim,midias,aversao,disponibilidade de outras escolhas,mulher_cis,parda,superior
365,porque nao consumo carne ao menos 2x na semana,amigos,saude,nenhuma,mulher_cis,parda,medio
366,sim,escola_universidade,religiao,opcões para a substituicao,mulher_cis,branca,superior
367,saude,essa_pesquisa,saude,conhecimento,pnr,branca,mestrado
368,fico satisfeita com pouca carne,meus_pais,saude,a necessidade do meu organismo,mulher_cis,branca,mestrado
369,nao me consideram me disseram que me enquadro nesse perfil,outros,impacto_ambiental,nenhuma,mulher_cis,preta,mestrado
370,pela nao necessidade de consumo diario de carne,essa_pesquisa,religiao,convivencia familiar,mulher_cis,branca,doutorado
371,pois procuro reduzir o consumo de carne mas nao parei comoletamente,amigos,impacto_ambiental,tempo de preparo dos alimentos,mulher_cis,branca,medio
372,"por saber dos impactos ambientais gerados pelo consumo excessivo em relacao as carnes embutidas (presunto, salame, salsicha) tento reduzir consumo tambem por conta dos maleficios a saude",amigos,impacto_ambiental,cultura alimentar sempre foi muito relacionada ao consumo de carne. meus espacos de convivencia social sao muito atrelados ao consumo de alimentos com carne.,mulher_cis,branca,mestrado
373,pela processo digestorio da carne no organismo,escola_universidade,saude,pela falta de tempo no preparo de outros alimentos de origem vegetal e as vezes o custo.,mulher_cis,branca,superior
374,porque so consumo peixe e frutos do mar,midias,impacto_ambiental,encontrar opcões em restaurantes,mulher_cis,parda,superior
375,porque a carne nome faz falta na alimentacao,midias,etica_animal,opcao,homem_cis,parda,superior
376,"como pouca carne, mas nao deixei de comer",outros,saude,nenhuma,homem_cis,parda,superior
377,"nao conhecia esse termo antes da pesquisa, descobri que sou flexitariano agora",outros,impacto_ambiental,nenhuma,mulher_cis,branca,doutorado
378,"porque aqui em casa comecamos a adotar esse habito, de um ou dois dias da semana, nao fazer o consumo de carne",midias,saude,opcoes mais em conta e criativas pra fazer as refeicões e que agrade a todos em casa.,mulher_cis,parda,superior
379,porque desejo diminuir cada vez mais o consumo tendo em vista tantos motivos para fazer isso,midias,etica_animal,familia,mulher_cis,branca,superior
380,sim,midias,etica_animal,dificuldade de encontrar um substituto.,mulher_cis,parda,mestrado
381,porque nao atingi a disciplina e cuidado necessario para me considerar vegana,escola_universidade,impacto_ambiental,"nao ter terra/quintal em casa. moro em apto mto pequeno, tenho plantas, mas poucas e pequenas.",mulher_cis,branca,superior
382,porque eu tenho tentado evoluir espiritualmente e respeitar a vida dos animais ja faz uns 10 anos que comecei a cortar o consumo de carne todos os dias percebo que ate a agressividade diminui,midias,religiao,acho que o fator cultural pois muitas festas e comemoracões sao com churrasco. e tambem a dificuldade de deixar de gostar do sabor da carne. ja comi carne de soja e o sabor nao e igual. e uma questao de desacostumar o paladar.,mulher_cis,parda,mestrado
383,"ate 2017 minha alimentacao era bastante pautada pelo consumo de carnes em geral, incluindo as embutidas, mas apos ter acesso a informacões tanto sobre o impacto_ambiental desse tipo de producao, quanto no nosso organismo, comecei a reduzir meu consumo gradativamente em 2019 retirei definitivamente todas as carnes embutidas do cardapio, depois carne vermelha e posteriormente frutos do mar atualmente consumo apenas frango como carne de origem animal",escola_universidade,impacto_ambiental,"como eu nao cozinho, a minha maior dificuldade e encontrar comida variada a um preco razoavel",mulher_cis,branca,mestrado
384,"pelo financeiro, pela forma como sao produzidos",outros,saude,nenhuma,mulher_cis,branca,superior
385,porque e uma escolha que afeta o estilo de vida pra alguns pode ser transicao mas para mim e a forma que eu encontrei pra nao so diminuir meu consumo de carne mas priorizar minha saude,midias,saude,infelizmente a reducao total do consumo de carne na minha vida seria impossivel pois sou portadora de rcu e isso me impede de ter dietas com muitas fibras (vegetarianismo),nao_binario,amarela,superior
386,"parei de comer carne de boi, porque nem os supermercados, nem os frigorificos puderam me garantir que a carne que comercializavam atendia a resolucao do mpf de nao vir de frente de desmatamento amazônico",outros,impacto_ambiental,nenhuma,mulher_cis,parda,doutorado
387,"estou em processo pretendo ser vegano em breve, e penso que esse e o futuro de todos nos e ate viver apenas de luz!",amigos,religiao,"o fato de viver em uma familia que nao compactua, por nao entender ainda.",mulher_cis,branca,superior
388,porque exclui a maioria dos tipos de carne e leite mas ainda como peixe e derivados de leite e ovos,midias,etica_animal,nao cozinho e isto me limita muito,mulher_cis,branca,superior
389,Vejo o quanto o consumo de carne vermelha impacta no ambiente e na vida dos animais estes na sua maioria sao criados como meros objetos sem importância,midias,etica_animal,habito e conhecimento,mulher_cis,parda,superior
390,porque nao como carne 1 vez por semana,escola_universidade,impacto_ambiental,nenhuma,mulher_cis,branca,mestrado
391,"porque fico bem sem carne, mas qdo passo muito tempo sem, acabo sentindo falta",essa_pesquisa,impacto_ambiental,sinto fraqueza muito tempo sem,mulher_cis,branca,medio
392,"porque consumo muito pouco de carne, mas nao exclui inteiramente da minha dieta",midias,impacto_ambiental,substituir por outros alimentos,mulher_cis,branca,superior
393,nao concordo com o agronegocio,midias,impacto_ambiental,opcao pois faco minha refeicões fora de casa,mulher_cis,preta,superior
394,porque ainda como carne de frango e peixe,outros,saude,por ter que almocar em restaurante,mulher_cis,parda,superior
395,"para diminuir o consumo excessivo de carne, pela saude e pala disponibilidade do alimento no mundo",midias,impacto_ambiental,"falta de opcao para comer outros alimentos quando saio ( restaurantes, casa de amigos)",mulher_cis,branca,superior
396,porque sinto fraqueza se nao como carne preciso comer pelo menos 1 vez por semana,amigos,saude,fraqueza,mulher_cis,branca,doutorado
397,porque nao gosto do sabor da carne e tbm nao concordo com a indústria,outros,etica_animal,acho que as vezes que consumo e mais por habito que necessidade.,mulher_cis,branca,superior
398,nao me rotulo assim apenas tento equilibrar a alimentacao,midias,saude,dificuldade de acesso a orgânicos perto da minha casa,mulher_cis,parda,doutorado
399,reduzi o consumo de carne por vontade propria sem me preocupar com esse termo cansei de comer tanta carne pesa na verdade e so isso,midias,saude,"cultura do carnismo. a maioria da populacao supervaloriza a carne, tendo ou nao dinheiro pra consumi-la. minha familia nao entende isso, nao concebe refeicões sem carne, pouquissimos restaurantes oferecem opcões que fujam da carne. bares, por exemplo, tem como única opcao sem carne a batata frita. alem disso a cultura do churrasco e muito forte, e eu sozinha nao posso impedir a familia inteira com 30, 40 pessoas , de fazer churrasco todo fim de semana. odeio.",mulher_cis,branca,mestrado
400,"nao gosto de carne, na verdade eu seria vegetariana, mas como eu viajo bastante em funcao da profissao, nem sempre tenho opcões vegetarianas, entao acabo flexibilizando e comendo carnes porque em algumas situacões e so isso que tem",amigos,impacto_ambiental,nenhuma,mulher_cis,branca,doutorado
401,por conta do consumo de carne nao ser tao necessario na minha alimentacao diaria e o impacto que isso causa,escola_universidade,impacto_ambiental,minha familia consumir bastante carne e a pouca disponibilidade de produtos acessiveis para substituir,mulher_cis,branca,superior
